# time (mid interval);	delta t;	Delta u_{xx};	Delta u_{xy};	Delta u_{yx};	Delta u_{yy}
31.3457	0.0916674	-0.000170364	4.34093e-05	8.41648e-05	-0.000477783
31.4373	0.0916674	-0.000160024	0.000491698	1.08709e-05	-0.00164136
31.529	0.0916674	-0.000407284	-0.00034991	-5.96558e-05	-0.000601717
31.6207	0.0916674	0.00044298	0.000290925	0.000421616	-0.000473791
31.7123	0.0916674	-0.000147751	-0.000107637	3.44937e-05	-0.00176068
31.804	0.0916674	-0.000753425	0.000409068	0.000371527	-0.00115572
31.8957	0.0916674	0.000427677	0.000335822	-0.000457934	-0.0013861
31.9874	0.0916674	-0.000468167	0.000200128	0.000595018	-0.00129977
32.079	0.0916674	-0.00047327	-0.00021707	2.11766e-05	-0.000584917
32.1707	0.0916674	0.000173635	0.000188517	-0.000439569	-0.000837482
32.2624	0.0916674	-0.000138663	0.00049209	0.000271201	-0.00112836
32.354	0.0916674	-0.000603294	-8.08046e-05	-0.000271392	-0.000248981
32.4457	0.0916674	-0.000209907	0.000135371	0.000421286	-0.00117595
32.5374	0.0916674	-0.000435969	0.000307401	0.000281512	-0.00112342
32.6289	0.0913896	-0.000564708	6.8839e-05	0.000125154	-0.000941539
32.7206	0.0919452	-0.00068699	0.000124609	0.000343162	-0.000761714
32.8124	0.0916674	-0.000156734	0.00034276	-0.000191894	-0.00157166
32.904	0.0916674	-0.000408009	0.000404339	3.97123e-06	-0.000894598
